accredited_date,bbb_rating,business_start_date,company_name,company_types,company_website_url,complaints_l12m,complaints_l36m,customer_rating_avg,customer_review_count,email_address,full_address,phone_number,profile_page_url,days_accredited,numeric_bbb,days_in_operation,score
2012-02-01T00:00:00,A+,1910-01-01T00:00:00,"Schwartz Residential Roofing, A Division of L.E. Schwartz & Son, Inc.",Roofing Contractors,http://www.schwartzroofing.com,0,0,5.0,15.0,,"279 Reid St Macon , GA 31206-1133",(478) 745-6563,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/schwartz-residential-roofing-a-division-of-le-schwartz-son-inc-0743-38407,4279.0,12,41565.0,15.779442363712027
2012-02-01T00:00:00,A+,1910-01-01T00:00:00,"L. E. Schwartz & Son, Inc.",Roofing Contractors| Roofing Consultants,http://www.leschwartz.com,0,0,5.0,4.0,,"279 Reid St Macon , GA 31206-1133",(478) 745-6563,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/l-e-schwartz-son-inc-0743-2550,4279.0,12,41565.0,15.779442363712027
1998-06-12T00:00:00,A+,1988-01-01T00:00:00,Chris Moore Roofing,Roofing Contractors| Siding Contractors| Gutter Contractor,http://www.chrismooreroofing.com,0,0,5.0,1.0,,"619 Henderson Rd Macon , GA 31217-2357",(478) 256-4187,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/chris-moore-roofing-0743-3574,9261.0,12,13076.0,15.77824239724616
2000-01-03T00:00:00,A+,1994-01-01T00:00:00,Crosby Roofing & Seamless Gutters,Roofing Contractors| Siding Contractors| Gutter Contractor,http://www.crosbyroofing.com,0,2,5.0,5.0,,"7628 Hawkinsville Rd Macon , GA 31216-6916",(478) 785-2285,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/crosby-roofing-seamless-gutters-0743-6000037,8691.0,12,10884.0,15.131427251130262
2006-04-19T00:00:00,A+,1995-11-15T00:00:00,"P.A.P. Roofing Contractors, Inc.",Construction Services| Roofing Contractors| Residential Painter,,0,0,5.0,3.0,,"2828 US Highway 41 N Fort Valley , GA 31030-8703",(478) 256-8474,https://www.bbb.org/us/ga/fort-valley/profile/roofing-contractors/pap-roofing-contractors-inc-0743-6000397,6393.0,12,10201.0,14.375389622195556
1997-11-24T00:00:00,A+,1995-01-01T00:00:00,"Bland Roofing Co., Inc.",Roofing Contractors,https://www.blandroofingga.com/,2,3,4.57,7.0,,"3680 Fairmont Ave Macon , GA 31204-2260",(478) 474-0953,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/bland-roofing-co-inc-0743-6013,9461.0,12,10519.0,13.962782373570253
2009-05-23T00:00:00,A+,2000-10-01T00:00:00,Ramos Roofing & Gutters,Roofing Contractors| Construction Services| Painting Contractors ...,https://www.facebook.com/arroyoroofingconstruction/about,0,0,5.0,12.0,,"Warner Robins , GA 31088-6367",(478) 952-0200,https://www.bbb.org/us/ga/warner-robins/profile/roofing-contractors/ramos-roofing-gutters-0743-8352,5263.0,12,8419.0,13.775386814216857
2013-02-12T00:00:00,A+,1999-02-01T00:00:00,Southern Tradition Builders,Fire and Water Damage Restoration| Roofing Contractors| Construction Services ...,,0,0,5.0,1.0,,"127 Dumbarton Dr Macon , GA 31210-6104",(478) 808-6574,https://www.bbb.org/us/ga/macon/profile/building-contractors/southern-tradition-builders-0743-22959,3902.0,12,9027.0,13.25328329474888
2014-08-25T00:00:00,A+,2010-09-01T00:00:00,"Middle Georgia Roofing & Construction, LLC",Construction Services| Roofing Contractors| Plumber ...,http://www.middlegaroofing.com,0,0,5.0,3.0,,"Bonaire , GA 31005-4114",(478) 960-8706,https://www.bbb.org/us/ga/bonaire/profile/roofing-contractors/middle-georgia-roofing-construction-llc-0743-39542,3343.0,12,4797.0,12.712647701699735
2018-07-05T00:00:00,A+,2007-07-01T00:00:00,"Expert Renovation Services, LLC",Fire and Water Damage Restoration| Roofing Contractors| Construction Services ...,http://www.expertrenovationservices.com,0,0,5.0,1.0,,"987 Wesleyan Dr Macon , GA 31210-2207",(478) 501-0102,https://www.bbb.org/us/ga/macon/profile/general-contractor/expert-renovation-services-llc-0743-20224,1933.0,12,5955.0,12.210201548226529
2018-02-15T00:00:00,A+,2016-01-01T00:00:00,Cannon Roofing Company,Construction Services| Roofing Contractors| Plumber ...,http://www.cannonroofingcompany.com,0,0,5.0,1.0,,"70B W Main St Forsyth , GA 31029-1736",(478) 960-9800,https://www.bbb.org/us/ga/forsyth/profile/roofing-contractors/cannon-roofing-company-0743-89440,2073.0,12,2849.0,12.042297007381551
2019-08-27T00:00:00,A+,2010-02-10T00:00:00,"Pro Solutions Roofing, LLC",Roofing Contractors| Construction Services| Painting Contractors ...,http://www.prosolutionsroofing.com,0,0,5.0,1.0,,"1988 Ga Highway 212 W Monticello , GA 31064-8071",(404) 398-2093,https://www.bbb.org/us/ga/monticello/profile/roofing-contractors/pro-solutions-roofing-llc-0443-27607914,1515.0,12,5000.0,11.966713483146068
2018-09-14T00:00:00,A+,2016-08-09T00:00:00,"Duratec Roofing Solutions, LLC",Construction Services| Roofing Contractors| Plumber ...,http://www.duratecroofing.com,0,0,5.0,1.0,,"6017 Ga Highway 11 S Hillsboro , GA 31038-3724",(706) 819-2584,https://www.bbb.org/us/ga/hillsboro/profile/commercial-roofing/duratec-roofing-solutions-llc-0443-27972474,1862.0,12,2628.0,11.938397866340214
2021-10-27T00:00:00,A+,2001-02-04T00:00:00,"Prime Construction Resources, LLC",Construction Services| Roofing Contractors| Residential Painter,http://pcrga.com,0,0,5.0,1.0,,"1812 US-341 South Roberta , GA 31078",(478) 733-6211,https://www.bbb.org/us/ga/roberta/profile/building-and-construction/prime-construction-resources-llc-0743-106360,723.0,12,8293.0,11.876907021562854
2019-08-08T00:00:00,A+,2017-03-08T00:00:00,Central Georgia Roof Repairs,Roofing Contractors| Siding Contractors| Gutter Contractor,https://centralgeorgiaroofrepairs.com/,0,0,5.0,29.0,,"3045 Hartley Bridge Rd STE A Macon , GA 31216-5702",(478) 733-8379,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/central-georgia-roof-repairs-0743-97110,1534.0,12,2417.0,11.786537742061904
2019-09-04T00:00:00,A+,2017-10-16T00:00:00,"Apex Roofing And Remodeling, LLC",Roofing Contractors| Floor Installation| Flooring Contractors ...,http://www.apexroofingga.com,0,1,5.0,8.0,,"433 Simsbury Rdg Macon , GA 31220-8345",(478) 957-1044,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/apex-roofing-and-remodeling-llc-0743-90488,1507.0,12,2195.0,11.634136738462036
2022-12-28T00:00:00,A+,2012-01-01T00:00:00,Sean Payne Roofing & Repairs,Roofing Contractors| Floor Installation| Flooring Contractors ...,,0,0,5.0,17.0,,"Macon , GA 31220-6722",(478) 256-4700,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/sean-payne-roofing-repairs-0743-39628,296.0,12,4310.0,11.409188201237127
,A+,2004-01-01T00:00:00,Gable Masters Roofing,Roofing Contractors| Siding Contractors| Gutter Contractor,http://www.gablemasters.com,0,1,5.0,1.0,,"4019 Ocmulgee East Blvd Macon , GA 31217-5633",(478) 233-1521,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/gable-masters-roofing-0743-28641,,12,7232.0,11.37502427184466
2022-01-24T00:00:00,A+,2020-12-10T00:00:00,SIPM Roofing,Roofing Contractors| Construction Services| Painting Contractors ...,https://www.facebook.com/stanleysinteriorsandprojectmanagement/,0,0,5.0,8.0,,"Barnesville , GA 30204",(470) 303-5972,https://www.bbb.org/us/ga/barnesville/profile/roofing-contractors/sipm-roofing-0443-91820314,634.0,12,1044.0,11.312030178700573
2019-09-04T00:00:00,A+,2018-03-19T00:00:00,"A1 Roofing and Construction, LLC",Roofing Contractors| Construction Services| Painting Contractors ...,https://a1roofingandconstructionmacon.com/,0,0,4.33,6.0,,"101 Tucker Pl Warner Robins , GA 31088-1637",(478) 714-2461,https://www.bbb.org/us/ga/warner-robins/profile/roofing-contractors/a1-roofing-and-construction-llc-0743-93666,1507.0,12,2041.0,10.910423146229027
1997-06-23T00:00:00,A+,1996-08-01T00:00:00,Mid-State Roofing,Roofing Contractors,http://www.midstateroofingga.net,0,0,,,,"221 James Rd Gray , GA 31032-3647",(478) 986-1189,https://www.bbb.org/us/ga/gray/profile/roofing-contractors/mid-state-roofing-0743-5000497,9615.0,12,9941.0,10.697281553398058
2003-01-09T00:00:00,A+,1988-01-01T00:00:00,"Donnie Moore Construction Company, LLC",Roofing Contractors,https://dmooreconstruction.com/,0,0,,,,"170 Bass Rd NE Milledgeville , GA 31061-9657",(478) 719-0997,https://www.bbb.org/us/ga/milledgeville/profile/gutter-contractor/donnie-moore-construction-company-llc-0743-6002717,7589.0,12,13076.0,10.082445476730138
,A+,2013-08-01T00:00:00,"Stembridge Roofing, LLC",Roofing Contractors| Floor Installation| Flooring Contractors ...,,0,0,3.67,3.0,,"Lizella , GA 31052-4101",(478) 447-9135,https://www.bbb.org/us/ga/lizella/profile/roofing-contractors/stembridge-roofing-llc-0743-39099,,12,3732.0,9.582669902912622
2007-10-19T00:00:00,A+,2006-02-01T00:00:00,"Alan Frank Roofing Co., Inc.",Roofing Contractors,http://www.alanfrankroofing.com,0,0,,,,"2131 Barnes Ferry Rd Macon , GA 31216-6823",(478) 972-4319,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/alan-frank-roofing-co-inc-0743-17365,5845.0,12,6470.0,8.875666591921911
2011-04-28T00:00:00,A+,1990-02-01T00:00:00,Butler's Home Improvements & Roofing,Roofing Contractors,https://www.jbutlerroofing.com/,0,0,,,,"314 Bethune Downs Ct Macon , GA 31211-7652",(478) 952-4804,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/butlers-home-improvements-roofing-0743-8222,4558.0,12,12314.0,8.765620048159866
2008-06-17T00:00:00,A+,2007-01-01T00:00:00,Aegis Roofing Systems,Fire and Water Damage Restoration| Roofing Contractors| Construction Services ...,,0,0,,,,"552 Forest Hill Rd Macon , GA 31210-4811",(478) 254-6122,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/aegis-roofing-systems-0743-18414,5603.0,12,6136.0,8.750638754550339
2012-04-25T00:00:00,A+,1995-04-15T00:00:00,"Wheeler Construction, Inc.",Roofing Contractors| Construction Services| Painting Contractors ...,,0,0,,,,"Warner Robins , GA 31088-2532",(478) 987-7004,https://www.bbb.org/us/ga/warner-robins/profile/general-contractor/wheeler-construction-inc-0743-6724,4195.0,12,10415.0,8.476282175597655
2012-05-10T00:00:00,A+,1997-04-02T00:00:00,"Complete Remodeling Services, Inc.",Roofing Contractors| Construction Services| Painting Contractors ...,https://www.facebook.com/people/Complete-Remodeling-Services/100057400363157/?locale=sv_SE,0,0,,,,"4450 Goolsby Rd Monticello , GA 31064-5177",(770) 560-8071,https://www.bbb.org/us/ga/monticello/profile/roofing-contractors/complete-remodeling-services-inc-0443-27283891,4180.0,12,9697.0,8.417758424946165
2007-08-14T00:00:00,A+,2005-08-01T00:00:00,"Paul Davis Restoration, CLGA",Fire and Water Damage Restoration| Roofing Contractors| Construction Services ...,http://www.pauldavis.com,1,1,,,,"4282 Interstate Dr Macon , GA 31210-6806",(478) 475-5807,https://www.bbb.org/us/ga/macon/profile/fire-water-damage-restoration/paul-davis-restoration-clga-0743-17408,5911.0,12,6654.0,8.391530318089444
2013-03-04T00:00:00,A+,2001-03-01T00:00:00,Wingate Custom Homes,Construction Services| Roofing Contractors| Residential Painter,http://www.wingatecustomhomes.com,0,0,,,,"817 Ga Highway 247 S STE 10 Kathleen , GA 31047-2374",(478) 322-0028,https://www.bbb.org/us/ga/kathleen/profile/construction-services/wingate-custom-homes-0743-26112,3882.0,12,8268.0,8.189693374786371
2012-05-02T00:00:00,A+,2011-05-01T00:00:00,U-Name-It Home Improvement,Roofing Contractors,http://www.unameitwedoit.com,0,0,,,,"310 Davis Dr Centerville , GA 31028-1110",(478) 334-0829,https://www.bbb.org/us/ga/centerville/profile/roofing-contractors/u-name-it-home-improvement-0743-29689,4188.0,12,4555.0,8.046670121086507
2015-08-12T00:00:00,A+,1988-03-16T00:00:00,Elder Lee Ferguson's Handyman & Roofing Services,Roofing Contractors,,0,1,,,,"3661 Case St Macon , GA 31204-2655",(478) 390-0035,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/elder-lee-fergusons-handyman-roofing-services-0743-4243,2991.0,12,13001.0,8.038542780262537
2014-08-05T00:00:00,A+,1998-01-01T00:00:00,No Leak Roofing & Residential Remodeling,Roofing Contractors,,0,1,,,,"Macon , GA 31201-1132",(478) 335-7530,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/no-leak-roofing-residential-remodeling-0743-10346,3363.0,12,9423.0,7.932815291565156
2016-02-09T00:00:00,A+,1997-05-12T00:00:00,A.A. Construction,Roofing Contractors,https://www.roofingofwarnerrobins.com/,0,0,,,,"PO Box 1103 Byron , GA 31008-1103",(478) 213-2925,https://www.bbb.org/us/ga/byron/profile/roofing-contractors/aa-construction-0743-42871,2810.0,12,9657.0,7.844725121106707
,A+,1962-01-01T00:00:00,"Kellett & Sons Roofing, LLC",Roofing Contractors| Construction Services| Painting Contractors ...,,0,0,,,,"689 Yatesville Rd Barnesville , GA 30204-4019",(770) 358-7857,https://www.bbb.org/us/ga/barnesville/profile/roofing-contractors/kellett-sons-roofing-llc-0443-24772,,12,22572.0,7.617014563106796
